[2025-05-11 01:41:01] DOMAIN: chaturbate.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: chaturbate.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.survive.org.uk, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.survive.org.uk, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.survive.org.uk, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.survive.org.uk, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.survive.org.uk, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.realbeer.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.realbeer.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.realbeer.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.realbeer.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.realbeer.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.winespectator.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.winespectator.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.winespectator.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.winespectator.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.winespectator.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: dytt8.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: dytt8.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: dytt8.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: dytt8.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: dytt8.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: bravotube.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: bravotube.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: bravotube.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: bravotube.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: bravotube.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: 1337x.to, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: 1337x.to, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: 1337x.to, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: 1337x.to, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: 1337x.to, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.ipredator.se, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.ipredator.se, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.ipredator.se, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.ipredator.se, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:41:01] DOMAIN: www.ipredator.se, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:42:37] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:42:37] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:42:37] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:42:37] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:42:37] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:42:37] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:42:37] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:42:37] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:42:37] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:42:37] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:43:13] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:43:13] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:43:13] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:43:13] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:43:13] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:43:13] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:43:13] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:43:13] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:43:13] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:43:13] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:19] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:19] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:19] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:19] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:19] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:19] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:19] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:19] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:19] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:19] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: gotporn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: porn.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: www.ipvanish.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:47] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:48] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:48] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:48] DOMAIN: proxify.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:48] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:48] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:48] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:45:48] DOMAIN: ecstasy.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:49:38] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:49:38] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:49:38] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:49:38] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:49:38] DOMAIN: www.partypoker.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:49:38] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:49:38] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:49:38] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
[2025-05-11 01:49:38] DOMAIN: www.inetprivacy.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score [0.55]
