[2025-04-05 14:58:01] DOMAIN: www.winespectator.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.winespectator.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.winespectator.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.winespectator.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: dytt8.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: dytt8.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: dytt8.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: dytt8.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: dytt8.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: bravotube.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: bravotube.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: bravotube.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: bravotube.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: bravotube.net, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: 1337x.to, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: 1337x.to, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: 1337x.to, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: 1337x.to, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: 1337x.to, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ipredator.se, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ipredator.se, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ipredator.se, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ipredator.se, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ipredator.se, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.pmi.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.pmi.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.pmi.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.pmi.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.pmi.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ultimate-anonymity.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ultimate-anonymity.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ultimate-anonymity.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ultimate-anonymity.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ultimate-anonymity.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ginvodka.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ginvodka.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ginvodka.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ginvodka.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.ginvodka.org, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.prolife.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.prolife.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.prolife.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.prolife.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.prolife.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.absolut.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.absolut.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.absolut.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.absolut.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.absolut.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.altpenis.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.altpenis.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.altpenis.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.altpenis.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.altpenis.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.okcupid.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.okcupid.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.okcupid.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.okcupid.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: www.okcupid.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: marijuana.nl, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: marijuana.nl, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: marijuana.nl, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:01] DOMAIN: marijuana.nl, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: marijuana.nl, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.beerinfo.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.beerinfo.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.beerinfo.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.beerinfo.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.beerinfo.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.blackjackinfo.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.blackjackinfo.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.blackjackinfo.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.blackjackinfo.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.blackjackinfo.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.budweiser.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.budweiser.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.budweiser.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.budweiser.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.budweiser.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: yts.am, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: yts.am, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: yts.am, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: yts.am, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: yts.am, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: crptentry.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: crptentry.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: crptentry.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: crptentry.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: crptentry.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: bet9ja.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: bet9ja.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: bet9ja.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: bet9ja.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: bet9ja.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.darknet.org.uk, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.darknet.org.uk, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.darknet.org.uk, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.darknet.org.uk, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.darknet.org.uk, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: reallifecam.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: reallifecam.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: reallifecam.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: reallifecam.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: reallifecam.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.stupidcensorship.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.stupidcensorship.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.stupidcensorship.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.stupidcensorship.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.stupidcensorship.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.4online-gambling.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.4online-gambling.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.4online-gambling.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.4online-gambling.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.4online-gambling.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.dating.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.dating.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.dating.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.dating.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: www.dating.com, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: yourporn.sexy, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: yourporn.sexy, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: yourporn.sexy, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: yourporn.sexy, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
[2025-04-05 14:58:02] DOMAIN: yourporn.sexy, COUNTRY: AE, SCORE: 0.55 | REASON: High Score (0.55)
